epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.9332,2.50224,2.81722,2.36452,0.73215,0.52096,0.63184,0.46847,2.31627,2.36247,2.20565,8.33e-06,8.33e-06,8.33e-06
2,191.38,2.44697,2.69617,2.36418,0.63554,0.58457,0.64434,0.48288,2.29317,2.27604,2.19271,1.60829e-05,1.60829e-05,1.60829e-05
3,287.88,2.55622,2.63974,2.35243,0.71002,0.5764,0.6608,0.49726,2.28237,2.22496,2.19012,2.19507e-05,2.19507e-05,2.19507e-05
4,384.733,2.40353,2.45706,2.31217,0.67351,0.60662,0.67621,0.51052,2.26151,2.17372,2.17726,2.59337e-05,2.59337e-05,2.59337e-05
5,479.228,2.35648,2.47311,2.28304,0.71451,0.60907,0.69202,0.52105,2.2312,2.13239,2.15799,2.80316e-05,2.80316e-05,2.80316e-05
6,574.09,2.38379,2.41929,2.32224,0.74486,0.60621,0.70095,0.5298,2.2094,2.06654,2.14608,2.82447e-05,2.82447e-05,2.82447e-05
7,669.046,2.27957,2.25697,2.20749,0.75567,0.61014,0.71062,0.539,2.20257,2.02089,2.13946,2.65727e-05,2.65727e-05,2.65727e-05
8,764.273,2.37956,2.289,2.28039,0.73086,0.62911,0.71225,0.54234,2.1953,1.98459,2.13157,2.30158e-05,2.30158e-05,2.30158e-05
9,859.71,2.34366,2.22938,2.25464,0.73461,0.62958,0.71757,0.54965,2.18907,1.96359,2.12527,1.75739e-05,1.75739e-05,1.75739e-05
10,954.4,2.27052,2.26688,2.18561,0.8122,0.60028,0.71806,0.55069,2.18423,1.96033,2.12242,1.02471e-05,1.02471e-05,1.02471e-05
